"Season","Date","Home","Away","HG","AG","Res","HorA","Resultado","Ganados","Perdidos","Empatados","Rival"
"2012/2013","22/07/2012","Monterrey","Club America",0,0,"D","A","E",0,0,1,"Monterrey"
"2012/2013","28/07/2012","Club America","Chiapas",4,2,"H","H","G",1,0,0,"Chiapas"
"2012/2013","06/08/2012","Atlante","Club America",2,2,"D","A","E",0,0,1,"Atlante"
"2012/2013","11/08/2012","Club America","Atlas",1,1,"D","H","E",0,0,1,"Atlas"
"2012/2013","18/08/2012","Queretaro","Club America",0,4,"A","A","G",1,0,0,"Queretaro"
"2012/2013","25/08/2012","Club America","Club Tijuana",0,1,"A","H","P",0,1,0,"Club Tijuana"
"2012/2013","02/09/2012","Toluca","Club America",1,1,"D","A","E",0,0,1,"Toluca"
"2012/2013","15/09/2012","Club America","Santos Laguna",2,0,"H","H","G",1,0,0,"Santos Laguna"
"2012/2013","22/09/2012","Cruz Azul","Club America",1,1,"D","A","E",0,0,1,"Cruz Azul"
"2012/2013","29/09/2012","Club America","Monarcas",1,1,"D","H","E",0,0,1,"Monarcas"
"2012/2013","03/10/2012","Atl. San Luis","Club America",1,2,"A","A","G",1,0,0,"Atl. San Luis"
"2012/2013","06/10/2012","Club America","Guadalajara Chivas",1,3,"A","H","P",0,1,0,"Guadalajara Chivas"
"2012/2013","20/10/2012","Club America","Club Leon",2,1,"H","H","G",1,0,0,"Club Leon"
"2012/2013","26/10/2012","Puebla","Club America",0,1,"A","A","G",1,0,0,"Puebla"
"2012/2013","28/10/2012","U.N.A.M.- Pumas","Club America",0,1,"A","A","G",1,0,0,"U.N.A.M.- Pumas"
"2012/2013","03/11/2012","Club America","Pachuca",4,0,"H","H","G",1,0,0,"Pachuca"
"2012/2013","11/11/2012","U.A.N.L.- Tigres","Club America",1,1,"D","A","E",0,0,1,"U.A.N.L.- Tigres"
"2012/2013","15/11/2012","Monarcas","Club America",0,2,"A","A","G",1,0,0,"Monarcas"
"2012/2013","17/11/2012","Club America","Monarcas",1,2,"A","H","P",0,1,0,"Monarcas"
"2012/2013","23/11/2012","Club America","Toluca",0,2,"A","H","P",0,1,0,"Toluca"
"2012/2013","25/11/2012","Toluca","Club America",1,2,"A","A","G",1,0,0,"Toluca"
"2012/2013","05/01/2013","Club America","Monterrey",2,1,"H","H","G",1,0,0,"Monterrey"
"2012/2013","12/01/2013","Chiapas","Club America",0,2,"A","A","G",1,0,0,"Chiapas"
"2012/2013","19/01/2013","Club America","Atlante",4,0,"H","H","G",1,0,0,"Atlante"
"2012/2013","27/01/2013","Atlas","Club America",2,1,"H","A","P",0,1,0,"Atlas"
"2012/2013","02/02/2013","Club America","Queretaro",3,0,"H","H","G",1,0,0,"Queretaro"
"2012/2013","10/02/2013","Club Tijuana","Club America",1,2,"A","A","G",1,0,0,"Club Tijuana"
"2012/2013","16/02/2013","Club America","Toluca",2,2,"D","H","E",0,0,1,"Toluca"
"2012/2013","23/02/2013","Santos Laguna","Club America",1,0,"H","A","P",0,1,0,"Santos Laguna"
"2012/2013","02/03/2013","Club America","Cruz Azul",3,0,"H","H","G",1,0,0,"Cruz Azul"
"2012/2013","09/03/2013","Monarcas","Club America",1,1,"D","A","E",0,0,1,"Monarcas"
"2012/2013","16/03/2013","Club America","Atl. San Luis",1,1,"D","H","E",0,0,1,"Atl. San Luis"
"2012/2013","01/04/2013","Guadalajara Chivas","Club America",0,2,"A","A","G",1,0,0,"Guadalajara Chivas"
"2012/2013","07/04/2013","Club America","Puebla",1,1,"D","H","E",0,0,1,"Puebla"
"2012/2013","14/04/2013","Club Leon","Club America",1,1,"D","A","E",0,0,1,"Club Leon"
